date,Ozempic,semaglutide,Novo Nordisk,weight loss drug
2018-05-01,6.0,0.0,40.0,5.0
2018-05-02,4.0,0.0,65.0,7.0
2018-05-03,6.0,0.0,41.0,7.0
2018-05-04,6.0,4.0,38.0,5.0
2018-05-05,0.0,0.0,20.0,5.0
2018-05-06,0.0,0.0,18.0,4.0
2018-05-07,5.0,0.0,40.0,5.0
2018-05-08,8.0,0.0,38.0,3.0
2018-05-09,8.0,4.0,37.0,5.0
2018-05-10,8.0,0.0,32.0,7.0
2018-05-11,7.0,0.0,34.0,4.0
2018-05-12,0.0,0.0,20.0,4.0
2018-05-13,0.0,0.0,20.0,4.0
2018-05-14,5.0,3.0,46.0,4.0
2018-05-15,6.0,0.0,44.0,4.0
2018-05-16,7.0,0.0,48.0,5.0
2018-05-17,6.0,0.0,45.0,5.0
2018-05-18,9.0,3.0,35.0,4.0
2018-05-19,0.0,0.0,20.0,0.0
2018-05-20,0.0,0.0,18.0,0.0
2018-05-21,6.0,0.0,36.0,4.0
2018-05-22,10.0,0.0,41.0,5.0
2018-05-23,7.0,0.0,40.0,6.0
2018-05-24,8.0,4.0,36.0,7.0
2018-05-25,7.0,4.0,35.0,0.0
2018-05-26,0.0,0.0,16.0,0.0
2018-05-27,5.0,0.0,15.0,5.0
2018-05-28,3.0,0.0,37.0,3.0
2018-05-29,5.0,4.0,35.0,0.0
2018-05-30,7.0,4.0,38.0,6.0
2018-05-31,10.0,4.0,40.0,5.0
2018-06-01,8.0,0.0,36.0,5.0
2018-06-02,5.0,0.0,16.0,0.0
2018-06-03,4.0,0.0,16.0,5.0
2018-06-04,7.0,3.0,40.0,5.0
2018-06-05,11.0,3.0,42.0,6.0
2018-06-06,12.0,3.0,40.0,3.0
2018-06-07,8.0,3.0,46.0,6.0
2018-06-08,8.0,0.0,65.0,4.0
2018-06-09,0.0,0.0,20.0,7.0
2018-06-10,0.0,0.0,18.0,6.0
2018-06-11,8.0,0.0,53.0,6.0
2018-06-12,7.0,4.0,45.0,4.0
2018-06-13,9.0,3.0,48.0,4.0
2018-06-14,11.0,5.0,38.0,3.0
2018-06-15,8.0,0.0,27.0,5.0
2018-06-16,5.0,0.0,18.0,4.0
2018-06-17,0.0,0.0,16.0,0.0
2018-06-18,6.0,0.0,44.0,5.0
2018-06-19,11.0,4.0,33.0,0.0
2018-06-20,10.0,4.0,45.0,5.0
2018-06-21,11.0,3.0,49.0,5.0
2018-06-22,9.0,4.0,41.0,5.0
2018-06-23,5.0,0.0,24.0,4.0
2018-06-24,6.0,0.0,16.0,0.0
2018-06-25,8.0,6.0,45.0,5.0
2018-06-26,9.0,4.0,44.0,6.0
2018-06-27,10.0,0.0,40.0,6.0
2018-06-28,7.0,4.0,39.0,0.0
2018-06-29,10.0,4.0,33.0,6.0
2018-06-30,0.0,0.0,16.0,7.0
2018-07-01,4.0,0.0,15.0,0.0
2018-07-02,10.714285714285715,0.0,29.240000000000002,3.6363636363636367
2018-07-03,7.142857142857143,4.166666666666667,36.04,3.6363636363636367
2018-07-04,6.428571428571429,0.0,32.64,5.818181818181818
2018-07-05,7.857142857142858,0.0,34.0,5.818181818181818
2018-07-06,7.142857142857143,0.0,35.36,4.363636363636363
2018-07-07,5.714285714285714,0.0,15.64,4.363636363636363
2018-07-08,6.428571428571429,5.0,14.96,10.181818181818182
2018-07-09,10.0,0.0,36.04,7.272727272727273
2018-07-10,8.571428571428571,0.0,41.480000000000004,4.363636363636363
2018-07-11,7.857142857142858,0.0,38.080000000000005,4.363636363636363
2018-07-12,8.571428571428571,0.0,38.760000000000005,3.6363636363636367
2018-07-13,10.0,0.0,34.0,6.545454545454546
2018-07-14,3.5714285714285716,0.0,16.32,0.0
2018-07-15,0.0,0.0,16.32,4.363636363636363
2018-07-16,10.0,0.0,36.04,5.818181818181818
2018-07-17,8.571428571428571,0.0,35.36,4.363636363636363
2018-07-18,8.571428571428571,5.833333333333334,40.800000000000004,5.818181818181818
2018-07-19,10.714285714285715,0.0,41.480000000000004,3.6363636363636367
2018-07-20,13.571428571428571,5.833333333333334,35.36,6.545454545454546
2018-07-21,5.0,0.0,14.96,4.363636363636363
2018-07-22,6.428571428571429,0.0,15.64,0.0
2018-07-23,10.0,4.166666666666667,38.760000000000005,8.0
2018-07-24,10.714285714285715,4.166666666666667,42.160000000000004,5.818181818181818
2018-07-25,12.857142857142858,0.0,38.760000000000005,7.272727272727273
2018-07-26,11.428571428571429,0.0,36.04,4.363636363636363
2018-07-27,14.285714285714286,0.0,34.68,0.0
2018-07-28,5.714285714285714,0.0,15.64,4.363636363636363
2018-07-29,0.0,0.0,19.720000000000002,4.363636363636363
2018-07-30,20.0,5.0,39.440000000000005,4.363636363636363
2018-07-31,32.142857142857146,4.166666666666667,44.2,3.6363636363636367
2018-08-01,29.285714285714285,0.0,35.36,4.363636363636363
2018-08-02,24.285714285714285,4.166666666666667,42.84,8.727272727272727
2018-08-03,18.571428571428573,0.0,36.720000000000006,5.090909090909091
2018-08-04,15.0,0.0,14.96,7.272727272727273
2018-08-05,21.42857142857143,0.0,16.32,5.090909090909091
2018-08-06,22.142857142857142,0.0,42.160000000000004,8.0
2018-08-07,17.857142857142858,0.0,40.800000000000004,6.545454545454546
2018-08-08,23.571428571428573,5.0,66.64,6.545454545454546
2018-08-09,22.857142857142858,0.0,46.24,5.090909090909091
2018-08-10,22.857142857142858,0.0,36.04,5.818181818181818
2018-08-11,13.571428571428571,0.0,16.32,5.818181818181818
2018-08-12,18.571428571428573,0.0,13.600000000000001,0.0
2018-08-13,23.571428571428573,5.0,44.2,4.363636363636363
2018-08-14,15.714285714285715,4.166666666666667,42.84,8.0
2018-08-15,20.0,4.166666666666667,46.24,7.272727272727273
2018-08-16,18.571428571428573,0.0,43.52,5.818181818181818
2018-08-17,18.571428571428573,5.0,38.080000000000005,0.0
2018-08-18,17.857142857142858,0.0,16.32,5.090909090909091
2018-08-19,11.428571428571429,0.0,20.400000000000002,5.818181818181818
2018-08-20,22.142857142857142,4.166666666666667,45.56,5.090909090909091
2018-08-21,25.0,4.166666666666667,40.800000000000004,5.090909090909091
2018-08-22,25.0,5.833333333333334,46.92,4.363636363636363
2018-08-23,23.571428571428573,0.0,38.080000000000005,5.090909090909091
2018-08-24,17.857142857142858,5.0,44.2,5.818181818181818
2018-08-25,10.0,0.0,22.44,0.0
2018-08-26,14.285714285714286,0.0,16.32,7.272727272727273
2018-08-27,22.142857142857142,5.833333333333334,38.760000000000005,18.181818181818183
2018-08-28,18.571428571428573,0.0,38.080000000000005,12.363636363636363
2018-08-29,23.571428571428573,4.166666666666667,35.36,6.545454545454546
2018-08-30,22.857142857142858,0.0,44.88,5.818181818181818
2018-08-31,12.857142857142858,0.0,38.760000000000005,3.6363636363636367
2018-09-01,11.428571428571429,0.0,19.040000000000003,5.818181818181818
2018-09-02,13.571428571428571,0.0,19.040000000000003,0.0
2018-09-03,12.857142857142858,0.0,34.0,4.363636363636363
2018-09-04,15.714285714285715,4.166666666666667,40.120000000000005,5.090909090909091
2018-09-05,11.428571428571429,0.0,42.84,5.818181818181818
2018-09-06,22.142857142857142,5.0,42.84,5.818181818181818
2018-09-07,16.42857142857143,4.166666666666667,25.16,3.6363636363636367
2018-09-08,13.571428571428571,0.0,14.96,5.090909090909091
2018-09-09,12.857142857142858,0.0,16.32,7.272727272727273
2018-09-10,15.714285714285715,0.0,46.24,3.6363636363636367
2018-09-11,15.0,0.0,43.52,4.363636363636363
2018-09-12,15.0,0.0,35.36,4.363636363636363
2018-09-13,13.571428571428571,5.0,40.800000000000004,5.818181818181818
2018-09-14,21.42857142857143,5.0,41.480000000000004,4.363636363636363
2018-09-15,11.428571428571429,0.0,17.68,4.363636363636363
2018-09-16,7.142857142857143,0.0,18.360000000000003,0.0
2018-09-17,19.285714285714285,5.0,45.56,3.6363636363636367
2018-09-18,21.42857142857143,5.0,68.0,3.6363636363636367
