date,Open,High,Low,Close,Volume,returns,volatility
2018-01-02,22.5113194880103,22.523712809430755,22.304755725901753,22.37498664855957,1482800,,
2018-01-03,22.531979435904514,22.618735852726456,22.465879083665406,22.58981704711914,1504800,0.009601364324094419,
2018-01-04,22.577418543861512,22.589811864576603,22.4576111904278,22.51131820678711,1208400,-0.0034749657409041124,
2018-01-05,22.503054617812975,22.62286039076578,22.49479187899618,22.614599227905273,1290800,0.004587959717393453,
2018-01-08,22.54023910415784,22.614602187283964,22.46587602103172,22.593944549560547,1228000,-0.0009133338219515785,
2018-01-09,22.527844097195047,22.705489064251676,22.46587591219448,22.66417694091797,1782400,0.003108460818046499,
2018-01-10,22.709616975108823,22.709616975108823,22.507183826336206,22.63525390625,1757600,-0.0012761564094458944,
2018-01-11,22.606342280364252,22.717886919031972,22.581554057563636,22.70549201965332,1004600,0.003103040668076096,
2018-01-12,22.647648284981518,22.76745563218597,22.626992226211573,22.738536834716797,2192000,0.001455366615040754,
2018-01-16,22.817033345873572,23.019466529465415,22.812902763984802,22.85008430480957,2253800,0.004905657338622804,
2018-01-17,23.13514124692655,23.440856306824625,23.089696967324205,23.304523468017578,2310400,0.019887854991955445,
2018-01-18,23.283866551566465,23.40367390685117,23.18058467479476,23.345834732055664,1790400,0.0017726714770538443,
2018-01-19,23.725915248766665,23.887034740612386,23.692864288410348,23.87464141845703,4188000,0.022651007876590246,
2018-01-22,23.783753578112957,23.944873074867914,23.73417871202449,23.94074249267578,2220800,0.0027686729639275764,
2018-01-23,24.093596255899655,24.11425231620733,23.88703250091015,23.936607360839844,2561600,-0.00017272362530951213,
2018-01-24,23.87877231834341,24.064680032930756,23.734178304751342,23.849853515625,1926600,-0.003624316675585937,
2018-01-25,23.977922681356056,23.986185421230008,23.68047034971967,23.73830795288086,2307400,-0.004676991524122487,
2018-01-26,23.92421646315691,24.027498351113202,23.88290433835701,24.019235610961914,2191400,0.011834358987956595,
2018-01-29,23.663943387483595,23.845720501409712,23.639156745371046,23.76722526550293,2627000,-0.010492021875332824,
2018-01-30,23.568925778885813,23.65155160185652,23.378887489222723,23.41606903076172,2903800,-0.014774809882872608,
2018-01-31,23.30865398608253,23.337574362442023,22.779851263333406,22.928577423095703,3061800,-0.02081867827710948,
2018-02-01,21.548730004579777,21.705718893426052,21.09842097348739,21.428922653198242,7567200,-0.06540548688323222,0.01765135141706433
2018-02-02,21.172782899061012,21.201701695968598,20.81749302167499,20.850543975830078,4961000,-0.02699056255550214,0.018254744189826092
2018-02-05,21.057110554257005,21.11907873772949,20.354793443207043,20.363056182861328,4336400,-0.02338009950885911,0.018755388035988793
2018-02-06,20.47046671836822,20.631586186560078,20.08212744693255,20.462203979492188,6694200,0.004869003736006405,0.0187623656063441
2018-02-07,20.656379913312605,20.90425584188967,20.53657253158578,20.639854431152344,7166600,0.008681882549807618,0.018971776640541924
2018-02-08,20.441550640978903,20.59440739063943,20.04494857788086,20.04494857788086,4440000,-0.02882316129001261,0.01963140869917048
2018-02-09,20.482861611051785,20.82575660658702,20.127571719226534,20.685293197631836,7087000,0.03194543589189269,0.02127100997656956
2018-02-12,20.887725511276436,20.966219163460416,20.710080572583426,20.850543975830078,2210000,0.007988805216314843,0.021379729049602208
2018-02-13,20.74313419416912,20.77205299699257,20.59854018005185,20.718347549438477,3353200,-0.00634019076647796,0.0213510562462581
2018-02-14,20.648113005269966,21.028191138469456,20.615063623575804,20.98687744140625,2284800,0.012960970527548188,0.021593799136466956
2018-02-15,21.22236419931566,21.338040998031893,21.061244688770124,21.300859451293945,2147800,0.014960873086732773,0.021348752151652148
2018-02-16,21.552863683574788,21.713984753048468,21.36282538742415,21.424795150756836,4846200,0.005818342670457888,0.02142205822090647
2018-02-20,21.164522187087687,21.29259228276739,21.028190928034416,21.065372467041016,3328000,-0.01677601494841474,0.020698079013614153
2018-02-21,21.478499627407952,21.59004266665169,21.276066457017475,21.28845977783203,4963200,0.010590238133223462,0.020927859401997553
2018-02-22,22.160162563378154,22.226262911422754,21.83792356365529,21.920549392700195,6427600,0.02969165554787434,0.022269857953838706
2018-02-23,22.085795923728128,22.28822909354173,21.949464667287423,22.279966354370117,2720000,0.016396348249812176,0.022708315071110808
2018-02-26,22.30062481180356,22.540239545671593,22.30062481180356,22.523714065551758,3438400,0.010940218997854467,0.022905095675691347
2018-02-27,21.96185984646579,22.077535052744008,21.742902755737305,21.742902755737305,3235800,-0.03466618815804634,0.02370960190280212
2018-02-28,21.627227549648843,21.64788518880957,21.267807006835938,21.267807006835938,2180200,-0.021850612783336998,0.023982127124438927
2018-03-01,20.920777560341392,20.9662218401282,20.577882534965706,20.75552749633789,3454600,-0.02408708666264414,0.02425644747469398
2018-03-02,20.776178904258398,20.982742619967574,20.705946421420112,20.95795440673828,3890200,0.009752915720215194,0.0242048322836494
2018-03-05,20.74313497860182,21.04885007481212,20.734872238060284,20.99927520751953,3431400,0.0019716046699655987,0.01970348975334306
2018-03-06,21.024057608082998,21.06950188390718,20.842282080742578,20.908382415771484,2407200,-0.004328377567788588,0.01879576738198114
2018-03-07,20.86293993807126,20.91664695739746,20.7307392566194,20.91664695739746,2932800,0.00039527408010964216,0.01799711691763998
2018-03-08,20.87533512773995,21.127343191797777,20.846416324581504,21.077768325805664,2965400,0.007703020887447787,0.018034757018684157
2018-03-09,20.908387993978977,21.090163569815815,20.908387993978977,21.01580047607422,2155600,-0.0029399625602477553,0.017983783773184468
2018-03-12,20.94143738233262,21.057114181462172,20.908387993978977,21.01580047607422,2171200,0.0,0.016642585634406626
2018-03-13,21.04884604718715,21.09015816603327,20.751393748434868,20.792707443237305,4879200,-0.010615490620540347,0.015408794840060561
2018-03-14,20.85054907847107,20.912517268742643,20.664641355743104,20.776185989379883,1846400,-0.0007945792486392378,0.015310266412581182
2018-03-15,20.854674974911934,21.02405717845948,20.767918582451152,20.817493438720703,1598600,0.0019882113763294296,0.01524713495377052
2018-03-16,20.772051590362867,20.89599110944944,20.743132789497718,20.838151931762695,2756800,0.000992362173803718,0.014972950957463612
2018-03-19,21.003403573240494,21.032322374105643,20.697688509293503,20.838151931762695,2469400,0.0,0.01456430258652993
2018-03-20,20.77205496737188,20.94969995925632,20.73074283826435,20.871206283569336,2563600,0.0015862420004846278,0.014495172512685747
2018-03-21,20.862940698120724,20.93730378114104,20.73900275173903,20.759658813476562,1789800,-0.00534456267535377,0.014087744920532845
2018-03-22,20.48699262844818,20.623323882888883,20.305217097208462,20.33000373840332,1839600,-0.02069663470549543,0.014493577422504884
2018-03-23,20.476595885551344,20.623187325858645,20.29649888024002,20.309064865112305,3138200,-0.0010299493084431344,0.012544593211706392
