date,trend_Ozempic,trend_semaglutide,trend_Novo Nordisk,trend_weight loss drug,price_raw,price_norm,volume,returns,volatility
2019-01-06,11.66565349544073,0.0,23.276712328767125,4.693181818181818,20.023155212402344,1.8095976049328066,10977400,0.008147612895455725,0.0131751089396582
2019-01-13,12.893617021276595,0.0,18.6213698630137,0.0,20.534942626953125,2.251943319794006,16669200,0.005089616160814359,0.01280196044095502
2019-01-20,11.66565349544073,0.0,16.875616438356168,4.0227272727272725,20.323463439941406,2.0691586136888858,15752400,-0.0018600070044919794,0.01476888565679684
2019-01-27,15.34954407294833,0.0,13.384109589041095,7.375,19.60865020751953,1.451334569372678,13448600,-0.00888478516818665,0.014249858761772899
2019-02-03,14.735562310030396,0.0,21.530958904109596,5.363636363636363,20.56031990051269,2.273877286700535,14948400,0.0096005907745441,0.013400893799468438
2019-02-10,9.82370820668693,0.0,20.367123287671237,0.0,20.687211990356445,2.383552066885262,13374000,0.00123691492278144,0.01438397843385614
2019-02-17,10.437689969604865,0.0,18.039452054794523,4.693181818181818,21.29627799987793,2.909977163946157,13911800,0.0058653734025867,0.012473074050381899
2019-02-24,19.033434650455927,0.0,23.276712328767125,4.693181818181818,21.05518913269043,2.701600356957383,10532000,-0.002826329998185425,0.011024239319114325
2019-03-03,15.963525835866262,0.0,18.6213698630137,5.363636363636363,20.97905540466309,2.6357968076871026,14184200,-0.00069549760529222,0.01013622839155806
2019-03-10,15.963525835866262,0.0,20.94904109589041,0.0,21.01289749145508,2.6650470425478763,10623200,0.0003597072674257597,0.00878586229950596
2019-03-17,13.50759878419453,0.0,20.94904109589041,0.0,21.524681091308597,3.1073894603077,8413200,0.0048454834155791,0.00859213075694526
2019-03-24,15.963525835866262,6.833333333333334,20.367123287671237,4.0227272727272725,21.782207489013672,3.329973477127398,13507600,0.0024436340411266,0.00848695091239154
2019-03-31,18.419452887537997,0.0,18.039452054794523,0.0,22.46504211425781,3.9201579206052024,12644400,0.00621064516674462,0.009178172039198079
2019-04-07,20.261398176291795,0.0,22.694794520547948,0.0,21.79938125610352,3.3448170275239746,12182400,-0.005964069340173859,0.009209838566771619
2019-04-14,13.50759878419453,4.555555555555555,12.220273972602742,5.363636363636363,21.56317710876465,3.1406621588476837,15957400,-0.00214222160269898,0.00970790026019812
2019-04-21,15.34954407294833,0.0,17.457534246575346,4.693181818181818,20.78156280517578,2.4651009237785666,10885800,-0.009141313536066226,0.01006329278699245
2019-04-28,18.419452887537997,0.0,22.11287671232877,5.363636363636363,21.013471603393555,2.665543256305022,13406200,0.0022508719798858,0.00950373144348258
2019-05-05,18.419452887537997,4.555555555555555,20.94904109589041,0.0,20.39504814147949,2.131030369567804,14407800,-0.0058712405450626805,0.00993752312978366
2019-05-12,15.692844820504394,0.0,19.306869609335365,5.0,20.73432159423828,2.4242696203331713,15999800,0.0033505619300303996,0.01112194394018458
2019-05-19,16.615953339357596,5.435185185185185,18.429284627092848,0.0,20.094423294067383,1.8711957013974865,10089600,-0.00622631077426946,0.01141296938962418
2019-05-26,15.692844820504394,0.0,12.286189751395233,5.0,20.867454528808597,2.5393384583696967,15153000,0.00759795569719932,0.011121637622993761
2019-06-02,22.154604452476796,0.0,14.041359715880263,5.0,20.2705078125,2.023388252381636,7194000,-0.0071864541977371505,0.011647317798514875
2019-06-09,14.769736301651196,0.0,14.918944698122782,6.0,21.18525505065918,2.814018325487276,16201200,0.00893298495137082,0.01210122185421296
2019-06-16,14.769736301651196,0.0,18.429284627092848,0.0,21.88527107238769,3.419052913564407,17943600,0.006720023470886041,0.013706255496749281
2019-06-23,19.385278895917192,0.0,16.674114662607813,4.0,21.833738327026367,3.3745123710705602,15461800,-0.0003512080187783997,0.01497687368704174
2019-06-30,21.23149593362359,4.348148148148148,15.796529680365298,4.0,21.91963005065918,3.448749905661687,10513800,0.0007976245789487202,0.01526279541843074
2019-07-07,14.769736301651196,0.0,18.429284627092848,0.0,21.72637176513672,3.2817138042809635,6970400,-0.002055768690375376,0.01432585112248865
2019-07-14,21.23149593362359,0.0,16.674114662607813,5.0,20.41652107238769,2.1495897532155857,19394000,-0.01225223507835132,0.014662613386392919
2019-07-21,23.07771297132999,0.0,17.55169964485033,0.0,20.609777450561523,2.3166242060456246,18718800,0.0019038057861205798,0.01422793096692182
2019-07-28,19.385278895917192,0.0,23.694794520547948,5.0,20.974815368652344,2.6321320795072256,18562800,0.0035697753209274602,0.01351052901084282
2019-08-04,22.154604452476796,0.0,20.18445459157788,4.0,20.92328453063965,2.5875931855640637,14222600,-0.00043826327272105997,0.013991601496014661
2019-08-11,24.000821490183192,0.0,21.939624556062917,4.0,21.588943481445312,3.1629324300946093,16061000,0.0064110345195924,0.01375836183346918
2019-08-18,28.616364084449188,5.435185185185185,21.0620395738204,0.0,22.38397026062012,3.850086273603169,14305600,0.0074905001302947,0.013966570268735221
2019-08-25,22.154604452476796,0.0,16.674114662607813,0.0,22.64828109741211,4.078534185220803,13639600,0.0024014290575215796,0.01569753231958472
2019-09-01,16.615953339357596,4.348148148148148,17.55169964485033,5.0,22.578954696655277,4.018614313356716,11026000,-0.0005981401105679803,0.015195248466818159
2019-09-08,25.84703852788959,4.348148148148148,17.55169964485033,0.0,22.76960182189941,4.1833935488452845,10762600,0.0021651603233833502,0.014606625120494975
2019-09-15,24.000821490183192,0.0,18.429284627092848,4.0,21.448057174682617,3.041162233510545,19134400,-0.01166508360652628,0.016536287482015598
2019-09-22,23.07771297132999,7.609259259259259,27.205134449518013,0.0,22.93858528137207,4.329448545617261,18200800,0.013598875721471481,0.01596637690835534
2019-09-29,24.000821490183192,5.435185185185185,19.306869609335365,5.0,22.3709716796875,3.8388514006630667,11782200,-0.00498967173261908,0.01623916304307012
2019-10-06,25.84703852788959,0.0,19.306869609335365,4.0,22.23665428161621,3.7227588126491713,16097000,-0.0010903572462140603,0.0167592369399974
2019-10-13,27.735973055121992,0.0,18.47969081087534,0.0,22.19765281677246,3.68904924817681,9568000,-0.0003231084677166998,0.014774764992933958
2019-10-20,26.349174402365893,4.621428571428572,17.159712895812817,0.0,22.75660514831543,4.172160324455877,9565200,0.0050126628390356805,0.0120512527860755
